employee_id,event_id,date,status,format
E001,EV001,2024-09-15,completed,workshop
E001,EV002,2024-10-15,skipped,workshop
E001,EV003,2024-11-15,skipped,workshop
E001,EV004,2024-12-15,completed,course
E001,EV005,2025-01-15,skipped,course
E001,EV006,2025-02-15,skipped,course
E001,EV007,2025-03-15,completed,mentoring
E001,EV008,2025-04-15,skipped,mentoring
E001,EV009,2025-05-15,skipped,mentoring
E001,EV010,2025-06-15,completed,workshop
E001,EV011,2025-07-15,skipped,workshop
E001,EV012,2025-08-15,skipped,workshop
E001,EV013,2025-09-15,completed,course
E001,EV014,2025-10-15,skipped,course
E001,EV015,2025-11-15,skipped,course
E001,EV016,2025-12-15,completed,mentoring
E001,EV017,2026-01-15,skipped,mentoring
E001,EV018,2026-02-15,skipped,mentoring
E001,EV019,2026-03-15,completed,workshop
E001,EV020,2026-04-15,skipped,workshop
E001,EV021,2026-05-15,skipped,workshop
E001,EV022,2026-06-15,completed,course
E001,EV023,2026-07-15,skipped,course
E001,EV024,2026-08-15,skipped,course
E002,EV002,2024-09-15,completed,workshop
E002,EV003,2024-10-15,skipped,workshop
E002,EV004,2024-11-15,skipped,course
E002,EV005,2024-12-15,completed,course
E002,EV006,2025-01-15,skipped,course
E002,EV007,2025-02-15,skipped,mentoring
E002,EV008,2025-03-15,completed,mentoring
E002,EV009,2025-04-15,skipped,mentoring
E002,EV010,2025-05-15,skipped,workshop
E002,EV011,2025-06-15,completed,workshop
E002,EV012,2025-07-15,skipped,workshop
E002,EV013,2025-08-15,skipped,course
E002,EV014,2025-09-15,completed,course
E002,EV015,2025-10-15,skipped,course
E002,EV016,2025-11-15,skipped,mentoring
E002,EV017,2025-12-15,completed,mentoring
E002,EV018,2026-01-15,skipped,mentoring
E002,EV019,2026-02-15,skipped,workshop
E002,EV020,2026-03-15,completed,workshop
E002,EV021,2026-04-15,skipped,workshop
E002,EV022,2026-05-15,skipped,course
E002,EV023,2026-06-15,completed,course
E002,EV024,2026-07-15,skipped,course
E002,EV025,2026-08-15,skipped,mentoring
E003,EV003,2024-09-15,completed,workshop
E003,EV004,2024-10-15,skipped,course
E003,EV005,2024-11-15,skipped,course
E003,EV006,2024-12-15,completed,course
E003,EV007,2025-01-15,skipped,mentoring
E003,EV008,2025-02-15,skipped,mentoring
E003,EV009,2025-03-15,completed,mentoring
E003,EV010,2025-04-15,skipped,workshop
E003,EV011,2025-05-15,skipped,workshop
E003,EV012,2025-06-15,completed,workshop
E003,EV013,2025-07-15,skipped,course
E003,EV014,2025-08-15,skipped,course
E003,EV015,2025-09-15,completed,course
E003,EV016,2025-10-15,skipped,mentoring
E003,EV017,2025-11-15,skipped,mentoring
E003,EV018,2025-12-15,completed,mentoring
E003,EV019,2026-01-15,skipped,workshop
E003,EV020,2026-02-15,skipped,workshop
E003,EV021,2026-03-15,completed,workshop
E003,EV022,2026-04-15,skipped,course
E003,EV023,2026-05-15,skipped,course
E003,EV024,2026-06-15,completed,course
E003,EV025,2026-07-15,skipped,mentoring
E003,EV026,2026-08-15,skipped,mentoring
E004,EV004,2024-09-15,completed,course
E004,EV005,2024-10-15,skipped,course
E004,EV006,2024-11-15,skipped,course
E004,EV007,2024-12-15,completed,mentoring
E004,EV008,2025-01-15,skipped,mentoring
E004,EV009,2025-02-15,skipped,mentoring
E004,EV010,2025-03-15,completed,workshop
E004,EV011,2025-04-15,skipped,workshop
E004,EV012,2025-05-15,skipped,workshop
E004,EV013,2025-06-15,completed,course
E004,EV014,2025-07-15,skipped,course
E004,EV015,2025-08-15,skipped,course
E004,EV016,2025-09-15,completed,mentoring
E004,EV017,2025-10-15,skipped,mentoring
E004,EV018,2025-11-15,skipped,mentoring
E004,EV019,2025-12-15,completed,workshop
E004,EV020,2026-01-15,skipped,workshop
E004,EV021,2026-02-15,skipped,workshop
E004,EV022,2026-03-15,completed,course
E004,EV023,2026-04-15,skipped,course
E004,EV024,2026-05-15,skipped,course
E004,EV025,2026-06-15,completed,mentoring
E004,EV026,2026-07-15,skipped,mentoring
E004,EV027,2026-08-15,skipped,mentoring
E005,EV005,2024-09-15,completed,course
E005,EV006,2024-10-15,skipped,course
E005,EV007,2024-11-15,skipped,mentoring
E005,EV008,2024-12-15,completed,mentoring
E005,EV009,2025-01-15,skipped,mentoring
E005,EV010,2025-02-15,skipped,workshop
E005,EV011,2025-03-15,completed,workshop
E005,EV012,2025-04-15,skipped,workshop
E005,EV013,2025-05-15,skipped,course
E005,EV014,2025-06-15,completed,course
E005,EV015,2025-07-15,skipped,course
E005,EV016,2025-08-15,skipped,mentoring
E005,EV017,2025-09-15,completed,mentoring
E005,EV018,2025-10-15,skipped,mentoring
E005,EV019,2025-11-15,skipped,workshop
E005,EV020,2025-12-15,completed,workshop
E005,EV021,2026-01-15,skipped,workshop
E005,EV022,2026-02-15,skipped,course
E005,EV023,2026-03-15,completed,course
E005,EV024,2026-04-15,skipped,course
E005,EV025,2026-05-15,skipped,mentoring
E005,EV026,2026-06-15,completed,mentoring
E005,EV027,2026-07-15,skipped,mentoring
E005,EV028,2026-08-15,skipped,workshop
E006,EV006,2024-09-15,completed,course
E006,EV007,2024-10-15,skipped,mentoring
E006,EV008,2024-11-15,skipped,mentoring
E006,EV009,2024-12-15,completed,mentoring
E006,EV010,2025-01-15,skipped,workshop
E006,EV011,2025-02-15,skipped,workshop
E006,EV012,2025-03-15,completed,workshop
E006,EV013,2025-04-15,skipped,course
E006,EV014,2025-05-15,skipped,course
E006,EV015,2025-06-15,completed,course
E006,EV016,2025-07-15,skipped,mentoring
E006,EV017,2025-08-15,skipped,mentoring
E006,EV018,2025-09-15,completed,mentoring
E006,EV019,2025-10-15,skipped,workshop
E006,EV020,2025-11-15,skipped,workshop
E006,EV021,2025-12-15,completed,workshop
E006,EV022,2026-01-15,skipped,course
E006,EV023,2026-02-15,skipped,course
E006,EV024,2026-03-15,completed,course
E006,EV025,2026-04-15,skipped,mentoring
E006,EV026,2026-05-15,skipped,mentoring
E006,EV027,2026-06-15,completed,mentoring
E006,EV028,2026-07-15,skipped,workshop
E006,EV029,2026-08-15,skipped,workshop
E007,EV007,2024-09-15,completed,mentoring
E007,EV008,2024-10-15,skipped,mentoring
E007,EV009,2024-11-15,skipped,mentoring
E007,EV010,2024-12-15,completed,workshop
E007,EV011,2025-01-15,skipped,workshop
E007,EV012,2025-02-15,skipped,workshop
E007,EV013,2025-03-15,completed,course
E007,EV014,2025-04-15,skipped,course
E007,EV015,2025-05-15,skipped,course
E007,EV016,2025-06-15,completed,mentoring
E007,EV017,2025-07-15,skipped,mentoring
E007,EV018,2025-08-15,skipped,mentoring
E007,EV019,2025-09-15,completed,workshop
E007,EV020,2025-10-15,skipped,workshop
E007,EV021,2025-11-15,skipped,workshop
E007,EV022,2025-12-15,completed,course
E007,EV023,2026-01-15,skipped,course
E007,EV024,2026-02-15,skipped,course
E007,EV025,2026-03-15,completed,mentoring
E007,EV026,2026-04-15,skipped,mentoring
E007,EV027,2026-05-15,skipped,mentoring
E007,EV028,2026-06-15,completed,workshop
E007,EV029,2026-07-15,skipped,workshop
E007,EV030,2026-08-15,skipped,workshop
E008,EV008,2024-09-15,completed,mentoring
E008,EV009,2024-10-15,skipped,mentoring
E008,EV010,2024-11-15,skipped,workshop
E008,EV011,2024-12-15,completed,workshop
E008,EV012,2025-01-15,skipped,workshop
E008,EV013,2025-02-15,skipped,course
E008,EV014,2025-03-15,completed,course
E008,EV015,2025-04-15,skipped,course
E008,EV016,2025-05-15,skipped,mentoring
E008,EV017,2025-06-15,completed,mentoring
E008,EV018,2025-07-15,skipped,mentoring
E008,EV019,2025-08-15,skipped,workshop
E008,EV020,2025-09-15,completed,workshop
E008,EV021,2025-10-15,skipped,workshop
E008,EV022,2025-11-15,skipped,course
E008,EV023,2025-12-15,completed,course
E008,EV024,2026-01-15,skipped,course
E008,EV025,2026-02-15,skipped,mentoring
E008,EV026,2026-03-15,completed,mentoring
E008,EV027,2026-04-15,skipped,mentoring
E008,EV028,2026-05-15,skipped,workshop
E008,EV029,2026-06-15,completed,workshop
E008,EV030,2026-07-15,skipped,workshop
E008,EV031,2026-08-15,skipped,course
E009,EV009,2024-09-15,completed,mentoring
E009,EV010,2024-10-15,skipped,workshop
E009,EV011,2024-11-15,skipped,workshop
E009,EV012,2024-12-15,completed,workshop
E009,EV013,2025-01-15,skipped,course
E009,EV014,2025-02-15,skipped,course
E009,EV015,2025-03-15,completed,course
E009,EV016,2025-04-15,skipped,mentoring
E009,EV017,2025-05-15,skipped,mentoring
E009,EV018,2025-06-15,completed,mentoring
E009,EV019,2025-07-15,skipped,workshop
E009,EV020,2025-08-15,skipped,workshop
E009,EV021,2025-09-15,completed,workshop
E009,EV022,2025-10-15,skipped,course
E009,EV023,2025-11-15,skipped,course
E009,EV024,2025-12-15,completed,course
E009,EV025,2026-01-15,skipped,mentoring
E009,EV026,2026-02-15,skipped,mentoring
E009,EV027,2026-03-15,completed,mentoring
E009,EV028,2026-04-15,skipped,workshop
E009,EV029,2026-05-15,skipped,workshop
E009,EV030,2026-06-15,completed,workshop
E009,EV031,2026-07-15,skipped,course
E009,EV032,2026-08-15,skipped,course
E010,EV010,2024-09-15,completed,workshop
E010,EV011,2024-10-15,skipped,workshop
E010,EV012,2024-11-15,skipped,workshop
E010,EV013,2024-12-15,completed,course
E010,EV014,2025-01-15,skipped,course
E010,EV015,2025-02-15,skipped,course
E010,EV016,2025-03-15,completed,mentoring
E010,EV017,2025-04-15,skipped,mentoring
E010,EV018,2025-05-15,skipped,mentoring
E010,EV019,2025-06-15,completed,workshop
E010,EV020,2025-07-15,skipped,workshop
E010,EV021,2025-08-15,skipped,workshop
E010,EV022,2025-09-15,completed,course
E010,EV023,2025-10-15,skipped,course
E010,EV024,2025-11-15,skipped,course
E010,EV025,2025-12-15,completed,mentoring
E010,EV026,2026-01-15,skipped,mentoring
E010,EV027,2026-02-15,skipped,mentoring
E010,EV028,2026-03-15,completed,workshop
E010,EV029,2026-04-15,skipped,workshop
E010,EV030,2026-05-15,skipped,workshop
E010,EV031,2026-06-15,completed,course
E010,EV032,2026-07-15,skipped,course
E010,EV033,2026-08-15,skipped,course
E011,EV011,2024-09-15,completed,workshop
E011,EV012,2024-10-15,skipped,workshop
E011,EV013,2024-11-15,skipped,course
E011,EV014,2024-12-15,completed,course
E011,EV015,2025-01-15,skipped,course
E011,EV016,2025-02-15,skipped,mentoring
E011,EV017,2025-03-15,completed,mentoring
E011,EV018,2025-04-15,skipped,mentoring
E011,EV019,2025-05-15,skipped,workshop
E011,EV020,2025-06-15,completed,workshop
E011,EV021,2025-07-15,skipped,workshop
E011,EV022,2025-08-15,skipped,course
E011,EV023,2025-09-15,completed,course
E011,EV024,2025-10-15,skipped,course
E011,EV025,2025-11-15,skipped,mentoring
E011,EV026,2025-12-15,completed,mentoring
E011,EV027,2026-01-15,skipped,mentoring
E011,EV028,2026-02-15,skipped,workshop
E011,EV029,2026-03-15,completed,workshop
E011,EV030,2026-04-15,skipped,workshop
E011,EV031,2026-05-15,skipped,course
E011,EV032,2026-06-15,completed,course
E011,EV033,2026-07-15,skipped,course
E011,EV034,2026-08-15,skipped,mentoring
E012,EV012,2024-09-15,completed,workshop
E012,EV013,2024-10-15,skipped,course
E012,EV014,2024-11-15,skipped,course
E012,EV015,2024-12-15,completed,course
E012,EV016,2025-01-15,skipped,mentoring
E012,EV017,2025-02-15,skipped,mentoring
E012,EV018,2025-03-15,completed,mentoring
E012,EV019,2025-04-15,skipped,workshop
E012,EV020,2025-05-15,skipped,workshop
E012,EV021,2025-06-15,completed,workshop
E012,EV022,2025-07-15,skipped,course
E012,EV023,2025-08-15,skipped,course
E012,EV024,2025-09-15,completed,course
E012,EV025,2025-10-15,skipped,mentoring
E012,EV026,2025-11-15,skipped,mentoring
E012,EV027,2025-12-15,completed,mentoring
